sent_id,sys_name,test_set,bleu,sari,sari_add,sari_keep,sari_del,ibleu,amean_bleu_sari,gmean_bleu_sari,fkgl,fkbleu,word_length,bertscore_P,bertscore_R,bertscore_F1,samsa,amean_bleu_samsa,amean_sari_samsa,amean_bleu_sari_samsa,gmean_bleu_samsa,gmean_sari_samsa,gmean_bleu_sari_samsa
46,SETrain1-Moses,hsplit,93.91044157537529,64.91693053628806,34.65686274509805,87.17726219709951,72.91666666666666,76.55372723908658,79.41368605583169,78.07930335486336,9.130000000000004,38.27686361954329,18,0.951793909072876,0.8780263066291809,0.9148151874542236,50.0,71.95522078768764,57.45846526814403,69.60912403722112,68.52387962432341,56.97233123907081,67.29982805348223
47,SETrain1-Moses,asset,87.87419089273848,47.480127510588254,0.0,57.64871586509811,84.79166666666667,70.29935271419079,67.67715920166336,64.59317137652396,7.232173913043479,35.149676357095395,23,0.6196370124816895,0.9075821042060852,0.7146176099777222,50.0,68.93709544636924,48.74006375529413,61.784772801108915,66.28506275652853,48.72377628560221,59.308154020541615
47,SETrain1-Moses,turk,87.87419089273848,43.25936927935867,0.0,86.28852450474268,43.48958333333333,70.29935271419079,65.56678008604858,61.655349110631334,7.232173913043479,35.149676357095395,23,0.7546280026435852,0.8787121772766113,0.81528639793396,50.0,68.93709544636924,46.62968463967934,60.37785339069905,66.28506275652853,46.507724777373625,57.49593959458295
47,SETrain1-Moses,hsplit,72.02093506938778,39.62962958841153,0.0,84.93055543190127,33.958333333333336,56.50066150038663,55.825282328899654,53.424366906973034,7.232173913043479,28.250330750193314,23,0.7280582785606384,0.7403914332389832,0.7346503734588623,50.0,61.01046753469389,44.814814794205766,53.88352155259977,60.00872231158892,44.51383469687346,52.25761572964059
48,SETrain1-Moses,asset,85.9159075163102,14.804322919088989,0.0,44.41296875726696,0.0,67.32431676467918,50.3601152176996,35.66408331582407,11.342307692307696,33.66215838233959,26,0.7606346607208252,0.861644983291626,0.7954351902008057,50.0,67.9579537581551,32.402161459544494,50.240076811799725,65.5423174431261,27.206913569062728,39.91572714724066
48,SETrain1-Moses,turk,100.00000000000004,22.018570068396073,0.0,66.0557102051882,0.0,80.00000000000004,61.009285034198065,46.923949182049974,11.342307692307696,40.00000000000002,26,0.9899970293045044,0.9483506083488464,0.9691495299339294,50.0,75.00000000000003,36.00928503419804,57.33952335613204,70.71067811865478,33.18024266668047,47.92767614202336
48,SETrain1-Moses,hsplit,78.47574847738748,36.56014233780478,0.0,84.68042701341432,25.0,61.03720803171337,57.51794540759613,53.563836068741885,11.342307692307696,30.518604015856685,26,0.8046838641166687,0.6689189672470093,0.736415445804596,50.0,64.23787423869373,43.28007116890239,55.01196360506409,62.64014227210356,42.75519988130379,52.348525038356954
49,SETrain1-Moses,asset,87.61560783209455,22.084417607065447,0.0,66.25325282119636,0.0,68.85404704888509,54.85001271958,43.98794917089055,6.780000000000001,34.427023524442546,15,0.9261711835861206,0.9780542254447936,0.9093613624572754,50.0,68.80780391604728,36.04220880353272,53.233341813053336,66.18746400644709,33.22981914415534,45.907024493285306
49,SETrain1-Moses,turk,100.00000000000004,26.904115705003928,0.0,80.71234711501181,0.0,80.00000000000004,63.452057852501994,51.86917746118976,6.780000000000001,40.00000000000002,15,0.9999996423721312,0.9999996423721312,0.9999996423721312,50.0,75.00000000000003,38.452057852501966,58.968038568334656,70.71067811865478,36.67704711737568,51.238480507522915
49,SETrain1-Moses,hsplit,70.0418991088418,79.9774618740136,53.04972804972805,86.88265757231274,100.0,57.998788712698,75.0096804914277,74.8449952606111,6.780000000000001,28.999394356349,15,0.9259882569313048,0.7604129314422607,0.8422683477401733,50.0,60.0209495544209,64.9887309370068,66.67312032761846,59.17850078738131,63.23664359926673,65.42823099021635
